Image number,Square,Radius,Circumference,Alcohol concentration
3993,1747591.02,745.84,5522.24,0.0
4018,1772388.31,751.11,5237.49,0.0
4024,1680375.55,731.36,5198.42,0.0
4026,1175692.37,611.75,7758.68,0.0
4027,1175568.83,611.71,7755.91,0.0
4030,1740886.32,744.41,5146.15,0.0
4032,1740908.78,744.41,5146.15,0.0
4033,1820803.67,761.3,5906.07,0.0
408,1074313.25,584.78,5129.57,0.0
409,1074380.63,584.8,5129.57,0.0
4144,1716751.65,739.23,5247.64,0.0
4145,1639170.28,722.33,5028.28,0.0
4146,1639529.66,722.41,5032.21,0.0
4147,1639933.96,722.5,5032.21,0.0
4150,1656454.26,726.13,5119.62,0.0
4151,1656409.33,726.12,5119.62,0.0
4152,1656386.87,726.12,5119.62,0.0
4153,1640765.03,722.68,5218.81,0.0
4178,1767008.83,749.97,5725.42,0.0
4179,1766986.37,749.97,5725.42,0.0
4184,1716695.49,739.22,5363.49,0.0
4185,1852294.42,767.86,5777.69,0.0
4186,1852204.58,767.84,5777.69,0.0
4187,1852047.35,767.81,5777.69,0.0
4190,1702668.4,736.19,5223.41,0.0
4191,1702499.94,736.15,5226.18,0.0
4192,1702556.1,736.17,5223.41,0.0
4193,1792378.88,755.34,5313.99,0.0
420,882965.34,530.15,5729.54,0.0
421,882134.27,529.9,5735.09,0.0
4218,1759371.98,748.35,5255.97,0.0
4219,1759237.21,748.32,5255.97,0.0
422,882111.81,529.89,5735.09,0.0
4224,1725904.63,741.2,5184.06,0.0
4225,1728184.45,741.69,5315.62,0.0
4226,1727982.3,741.64,5315.62,0.0
423,861088.03,523.54,6251.54,0.0
4230,1652691.99,725.31,5062.94,0.0
4231,1652534.76,725.27,5062.94,0.0
4232,1652545.99,725.27,5060.17,0.0
434,826418.99,512.89,5520.02,0.0
4344,1789728.44,754.78,5328.07,0.0
4345,1770018.64,750.61,5239.98,0.0
4346,1769973.72,750.6,5239.98,0.0
4347,1769996.18,750.6,5239.98,0.0
435,862581.7,523.99,5770.23,0.0
4350,1879989.22,773.58,5471.12,0.0
4351,1880079.06,773.59,5471.12,0.0
4352,1880292.45,773.64,5473.9,0.0
4353,1878136.16,773.19,5416.35,0.0
437,862211.09,523.88,5773.01,0.0
4378,1429572.56,674.57,10818.06,0.0
4379,1429347.95,674.52,10818.06,0.0
4385,1766121.61,749.78,5286.62,0.0
4386,1766278.83,749.82,5286.62,0.0
4387,1766256.37,749.81,5286.62,0.0
4391,1847903.24,766.95,5650.74,0.0
4392,1847959.39,766.96,5653.51,0.0
4393,1879203.07,773.41,5640.11,0.0
44,629186.23,447.52,4612.77,0.0
4408,1928337.19,783.46,5448.99,0.0
4409,1928247.34,783.44,5448.99,0.0
4420,1896329.82,776.93,5485.67,0.0
4421,1896273.67,776.92,5482.9,0.0
4422,1896341.05,776.93,5482.9,0.0
4423,1933200.06,784.45,5809.77,0.0
4434,2011691.11,800.21,5618.77,0.0
4435,1812504.21,759.56,5178.43,0.0
4436,1812481.75,759.56,5178.43,0.0
4437,1812481.75,759.56,5178.43,0.0
45,726690.78,480.95,5100.66,0.0
4540,2103838.64,818.34,5542.46,0.0
4542,2103456.8,818.26,5542.46,0.0
4543,2081411.02,813.96,5534.81,0.0
4554,2015689.23,801.01,5474.01,0.0
4556,2191381.6,835.19,5770.43,0.0
4557,2190954.83,835.11,5774.36,0.0
4568,2179106.49,832.85,5696.14,0.0
4580,2128074.39,823.04,5608.54,0.0
4581,2127625.17,822.95,5602.98,0.0
4583,1991711.78,796.23,5383.35,0.0
4594,2262741.18,848.68,5927.64,0.0
4595,2064048.43,810.56,5509.35,0.0
4597,2064127.04,810.58,5512.12,0.0
46,727005.23,481.05,5100.66,0.0
4608,2114687.45,820.44,5835.63,0.0
4609,2114990.68,820.5,5838.41,0.0
4620,2193897.26,835.67,5971.22,0.0
4621,2194032.03,835.69,5967.3,0.0
4622,2194032.03,835.69,5967.3,0.0
4623,2128153.01,823.05,5629.6,0.0
4634,2098526.54,817.3,5574.07,0.0
4635,2055692.82,808.92,5552.54,0.0
4636,2056052.2,808.99,5552.54,0.0
4637,2056310.51,809.04,5555.31,0.0
47,726982.77,481.05,5100.66,0.0
4740,2206767.59,838.11,6243.8,0.0
4741,2206632.82,838.09,6243.8,0.0
4742,2206947.28,838.15,6243.8,0.0
4754,2030457.54,803.94,5552.06,0.0
4755,2191123.29,835.14,5781.45,0.0
4756,2191055.91,835.13,5781.45,0.0
4768,2052267.47,808.24,5471.63,0.0
4769,2052638.08,808.32,5472.78,0.0
4781,2041205.27,806.06,5506.09,0.0
4782,2041340.04,806.09,5506.09,0.0
4783,2026874.96,803.23,5448.55,0.0
4795,2041901.57,806.2,5497.57,0.0
4796,2041912.81,806.2,5500.34,0.0
4797,2042126.19,806.24,5497.57,0.0
4804,2074324.48,812.57,5836.02,0.0
4805,2090418.0,815.72,5521.8,0.0
4806,2090328.16,815.7,5521.8,0.0
4807,2090361.85,815.71,5519.02,0.0
4810,2330360.95,861.26,5944.89,0.0
4811,2329821.88,861.17,5944.89,0.0
4812,2330046.49,861.21,5944.89,0.0
4813,2171873.95,831.46,5636.3,0.0
4838,2133543.72,824.09,5725.73,0.0
4839,2133431.41,824.07,5725.73,0.0
4959,2020114.1,801.89,5517.08,0.0
4965,2114810.99,820.47,5780.19,0.0
4966,2114653.76,820.44,5780.19,0.0
4967,2114451.61,820.4,5780.19,0.0
4971,1916028.39,780.96,5320.33,0.0
4972,1916095.78,780.97,5320.33,0.0
4973,2026122.5,803.08,5539.77,0.0
4998,1914983.94,780.74,5351.54,0.0
4999,1915017.63,780.75,5354.32,0.0
50,672424.25,462.64,4726.11,0.0
5058,1932762.07,784.36,5292.29,0.0
5059,1932672.22,784.34,5292.29,0.0
5064,2137036.45,824.77,6253.09,0.0
5065,2040014.82,805.83,5523.03,0.0
